AQS_ID,AQS_ID_Dashes,MPCAID,City,Site_Name,Report_Name,RegionName,ReportRegion2,Address,Date.Site.Established,Date.Site.Closed,County,County.Code,FIPS,UTM_easting,UTM_north,lat,long
270031002,27-003-1002,6010,Blaine,Ncore,Blaine-Anoka County Airport,Metro,Suburban,9939 Lima St,5/1/1979,,Anoka,3,27003,482550,4998591,45.1407,-93.222
270036020,27-003-6020,6020,Anoka,Federal Cartridge,Anoka-Federal Cartridge,Metro,Suburban,900 Ehlen Dr,1/1/2010,,Anoka,3,27003,470867,5005022,45.19808,-93.37092
270072303,27-007-2303,2303,Red Lake,Red Lake,Red Lake,Northern,Tribal,15700 Weasel Rd,1/1/2011,,Beltrami,7,27007,349545,5304614,47.87721,-95.01222
270177416,27-017-7416,7416,Cloquet,Cloquet,Cloquet,Northern,Tribal,175 University Rd.,5/24/2001,,Carlton,17,27017,536439,5172275,46.70304,-92.52334
270190052,27-019-0052,52,Chaska,Chaska Water Tower,Chaska,Metro,Suburban,Chaska Water Tower,11/10/2002,12/31/2007,Carver,19,27019,453234,4966312,44.84869,-93.59181
270210001,27-021-0001,3401,Leech Lake,Leech Lake,Leech Lake,Northern,Tribal,,,,Cass,21,27021,412757,5223581,47.15994,-94.15099
270370001,27-037-0001,460,Eagan,Gopher,Eagan-Gopher Resources,Metro,Industrial,3450 Dodd Rd,,,Dakota,37,27037,490900,4964200,44.83115,-93.11512
270370020,27-037-0020,420,Rosemount,FHR 420,Rosemount-Flint Hills 420,Metro,Industrial,12821 Pine Bend Trail,1/1/1972,,Dakota,37,27037,497430,4956651,44.76324517,-93.03247442
270370421,27-037-0421,421,Inver Grove Heights,N of Flint Hills,Inver Grove Heights - Flint Hills 421,Metro,Industrial,3134 117th E.,8/4/2003,8/10/2007,Dakota,37,27037,496758,4957989,44.77529,-93.04097
270370423,27-037-0423,423,Rosemount,FHR 423,Rosemount-Flint Hills 423,Metro,Industrial,2142 120th St. E,9/1/1990,,Dakota,37,27037,495040,4957740,44.77303608,-93.06268496
270370441,27-037-0441,441,Rosemount,FHR 441,Rosemount-Flint Hills 441,Metro,Industrial,12555 Clayton Ave.,5/25/1999,12/18/2007,Dakota,37,27037,497870,4954781,44.74641,-93.02691
270370442,27-037-0442,442,Rosemount,FHR 442,Rosemount-Flint Hills 442,Metro,Industrial,County Rd. 42,5/30/2000,,Dakota,37,27037,499560,4953905,44.73853,-93.00556
270370443,27-037-0443,443,Rosemount,FHR 443,Rosemount-Flint Hills 443,Metro,Industrial,14035 Blaine Ave E.,1/1/2007,,Dakota,37,27037,495614,4954699,44.74566383,-93.05540453
270370465,27-037-0465,465,Eagan,Gopher Resources,Eagan-Gopher Resources,Metro,Industrial,149 & Yankee Doodle Rd.,1/1/2006,,Dakota,37,27037,490809,4964553,44.83432634,-93.11627981
270370470,27-037-0470,470,Apple Valley,Apple Valley,Apple Valley,Metro,Suburban,225 Garden View Dr.,10/3/2000,,Dakota,37,27037,481213,4953948,44.73867,-93.23729125
270530050,27-053-0050,940,Minneapolis,NE Fire Station,Mpls-NE Fire Station,Metro,Urban,143 13th Ave NE,1/1/1978,1/1/2007,Hennepin,53,27053,478941,4983125,45.00126,-93.2672
270530053,27-053-0053,945,Minneapolis,Mpls Library,Mpls-Old Downtown Library,Metro,Urban,300 Nicollet Mall,8/1/1978,12/31/2003,Hennepin,53,27053,478712,4980830,44.9806,-93.27
270530909,27-053-0909,909,Minneapolis,Mpls-Lowry Ave,Mpls-Lowry Ave,Metro,Urban,3104 N Pacific St,1/1/2013,,Hennepin,53,27053,478196,4984332,45.01210199,-93.27669899
270530910,27-053-0910,910,Minneapolis,Mpls-Pacific Street,Mpls-Pacific Street,Metro,Urban,2710 N Pacific St,,,Hennepin,53,27053,478168,4983909,45.008257,-93.277009
