forecast_date,forecast_day,site_catid,short_name,group,obs_ozone_ppb,obs_pm25_ugm3,obs_ozone_aqi,obs_pm25_aqi,state,fcst_ozone_aqi,fcst_ozone_ppb,fcst_pm25_aqi,fcst_pm25_ugm3,date_issued,is_forecast
2022-08-05,1,27-003-1001,Cedar_Creek,North Twin Cities Metro,54,NA,50,NA,MN,46,49.7,22,5.3,NA,NA
2022-08-05,1,27-003-1002,Anoka,North Twin Cities Metro,52,4.9,48,20,MN,46,49.7,22,5.3,NA,NA
2022-08-05,1,27-005-2013,Detroit_Lakes,Detroit Lakes,46,6.6,43,28,MN,39,42.1,19,4.6,NA,NA
2022-08-05,1,27-007-2304,Red_Lake,Red Lake,NA,3.9,NA,16,MN,44,47.5,21,5,NA,NA
2022-08-05,1,27-017-7417,Fond_Du_Lac,Fond du Lac,43,1,40,4,MN,38,41,10,2.4,NA,NA
2022-08-05,1,27-021-3410,Leech_Lake,Leech Lake,NA,7.5,NA,31,MN,42,45.4,19,4.6,NA,NA
2022-08-05,1,27-035-3204,Brainerd,Brainerd,42,5.7,39,24,MN,39,42.1,25,6,NA,NA
2022-08-05,1,27-037-0470,Apple_Valley,South Twin Cities Metro,NA,6.9,NA,29,MN,45,48.6,20,4.8,NA,NA
2022-08-05,1,27-037-0480,Lakeville,South Twin Cities Metro,NA,6.7,NA,28,MN,45,48.6,20,4.8,NA,NA
2022-08-05,1,27-049-5302,Stanton,South Twin Cities Metro,45,NA,42,NA,MN,45,48.6,20,4.8,NA,NA
2022-08-05,1,27-053-0962,MSP,Minneapolis-St. Paul,43,7.2,40,30,MN,48,51.8,29,7,NA,NA
2022-08-05,1,27-053-0963,HC_Anderson,Minneapolis-St. Paul,NA,6.7,NA,28,MN,48,51.8,29,7,NA,NA
2022-08-05,1,27-083-4210,Marshall,Marshall,46,6.1,43,25,MN,48,51.8,29,7,NA,NA
2022-08-05,1,27-095-3051,Mille_Lacs,Mille Lacs,43,NA,40,NA,MN,41,44.3,16,3.8,NA,NA
